identity_key,sender,mailboxes,mailbox_count,message_count,first_timestamp,last_timestamp,last_receipt_age,owner_evidence,nonce_status,launch_timestamps,completion_timestamps,heartbeat_timestamps,commit_result_receipts,gate_receipts,jay_verification_fields,reply_path,explicit_identity_fields,status
Norm / Codex supervisor,Norm / Codex supervisor,/Users/jay-m4/code/rawclaw-norm-conor-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-lenny-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-conor-20260826T111536Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-lenny-20260826T103109Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-ozzy-20260826T105130Z/.agent-mailbox,7,20,2026-08-26T10:23:45Z,2026-08-26T11:17:07Z,17.4h,"Do not include Ozzy dirty Norm Flash lane findings in CONOR_SPY_WAVE2.md. They belong to a separate quarantine review. Include 2cc11d6 only as credit for the valid Conor counterexample, then audit Conor-owned workers and",one-way/partial,4,14,0,"31 unique SHA-like refs; samples=cc8c5630d70313f898315ea26a8f1589da4cf351,c84c54088bd2620d321f9705e84a51e744c174dd,6ac7f1a5d9e80eed9b14f0f92f8e3f3abf07d140,3e32cd2a12f064553d0e1724fc0f46749875a6e6,d0d150bafad4",13,not evidenced,present,none,completed
Conor claim-spy watchdog,Conor claim-spy watchdog,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,19,2026-08-26T10:35:59Z,2026-08-26T18:34:57Z,10.1h,"The 25-minute hard stop fired. No result was accepted. Worktree /Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T153348Z-175b, branch conor/claim-spy-20260826T153348Z-175b, and logs /Users/jay-m4/code/rawclaw/.agent-m",absent,0,19,0,"9 unique SHA-like refs; samples=e7093ff2ea5580799f72b6bded879fa5d9409f97,c2fc90ab5b5569b824d44d378373764c95435cd1,be4dc49829829b258bc0514600b2574cf7ee1f62,9a55317a35bfa7db21809830c04981f132cef9c4,5cbf9b642e33c959cc6ad5b5c33f2c952de9e995",9,present,present,none,completed
Han Luna cadence worker,Han Luna cadence worker,/Users/jay-m4/code/rawclaw-han-luna-overlay-publisher-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hidden/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,5,19,2026-08-26T19:23:06Z,2026-08-26T19:37:10Z,9.0h,Corrected cadence adoption pitch: commit e0e15249c677bb11fdfc76152bb395324d416bc8 updates every ~15-minute wording to the actual 10-minute scheduler tick. Immutable Furiosa receipt 20260826T192710Z-74df1457-class-a-confi,absent,6,11,0,"22 unique SHA-like refs; samples=e0e15249c677bb11fdfc76152bb395324d416bc8,7f5217c2f8a3cd797b277fcf794250c989504461,269a83793e773232bf7c675844e027369d8a674c,047a6def4f21c3279563a7aef2cc331b4ecb6b6d,9886c4f02de14293cc94d438c599c15337fbcad",13,present,present,none,completed
Supervisor,Supervisor,/Users/jay-m4/code/rawclaw-luna-25/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-26/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-27/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-31/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-33/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-34/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-auditverify/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-dumpfirst/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-fix23/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-lintcfg/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-luna-dumpfirst/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-luna-routine/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-luna-segorder/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-modernize/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-refreshleak/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-taildedup/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-testdedup/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-unspec/.agent-mailbox,18,18,2026-08-25T17:31:09Z,2026-08-26T07:18:04Z,21.4h,"Read these FIRST, in full, before touching source -- they define your method, not optional background: 1. ~/.claude/plugins/marketplaces/ponytail/skills/ponytail/SKILL.md -- the ladder: reuse > stdlib > one line > minimu",one-way/partial,6,3,0,none evidenced,18,present,absent,none,confirmed historical
Han Luna adoption worker,Han Luna adoption worker,/Users/jay-m4/code/rawclaw-han-luna-invalidation-attack/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-overlay-publisher-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,4,17,2026-08-26T19:55:43Z,2026-08-26T20:02:46Z,8.6h,"Acknowledged your expanded gate and Graphify revisit. Adoption packet will compare 00e587d against fab3c3d, 9c845ed, and bfc2fbd7, explicitly preserve co-contributor topics, and avoid blind whole-session deletion. No rea",one-way/partial,0,3,0,"16 unique SHA-like refs; samples=bfc2fbd7f257800cfa3a33154fbd381441a33b9c,914c527d2efc334fb3812fc53b1125d206ab545c,10cb762b575702cb95e78eb947e117e4d06d38bf,bfc2fbd7,914c527d",11,not evidenced,present,none,confirmed historical
Ozzy composite desk,Ozzy composite desk,/Users/jay-m4/code/rawclaw-furiosa-audit-identity/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-detached-publication/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-prior-art-cadence/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-tag-overlay/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-detached-tag/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-graph-mechanism/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-overlay-publisher-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-ozzy-harvest/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,11,17,2026-08-26T21:14:31Z,2026-08-26T21:36:06Z,7.1h,"Candidate 0814bdc has been integrated as composite 96aa522 after focused and full race gates. Attack exact 96aa522, not the old candidate branch. Pending e43127e remains unintegrated.",one-way/partial,7,4,0,"14 unique SHA-like refs; samples=fb99037cda7c4ca80b6f5294631e5e5c0acc71b6,96aa522611fdcb78e281db31634144e40222de91,20260827,fb99037,f6d4a55",13,not evidenced,present,none,confirmed historical
(blank sender / malformed),(blank sender / malformed),/Users/jay-m4/code/rawclaw-furiosa-t51-context-tx-independent/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t53-current-base-cancel/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-tombstone/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,8,16,2026-08-26T08:05:51.352675Z,2026-08-27T04:39:09.822129Z,0.0h,"# Ada Lovelace handshake - tmux session: `furiosa-t56-execcontext-minimal-luna` - identity: Luna-medium worker Ada Lovelace, deletion-first cancellation comparator - worktree: `/Users/jay-m4/code/rawclaw-furiosa-t56-exec",two-way evidenced,2,7,1,"14 unique SHA-like refs; samples=48661f403f880e2c1dac7615f39bbb8264eeafe7,20260827,20260826,147a538e,0cd0b9ce",16,present,present,none,confirmed historical
Han Solo / Role B,Han Solo / Role B,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,3,16,2026-08-26T19:54:55Z,2026-08-26T20:15:13Z,8.4h,Claim-spy correction: Ozzy withdrew 74a0285 because local+foreign union preservation conflicts with whole-session authored-unit semantics. I accept and withdraw my union framing. Correct gate: kill 9c845ed and bfc2fbd7 w,one-way/partial,1,9,2,"21 unique SHA-like refs; samples=bfc2fbd7f257800cfa3a33154fbd381441a33b9c,914c527d2efc334fb3812fc53b1125d206ab545c,10cb762b575702cb95e78eb947e117e4d06d38bf,bfc2fbd7,20260827",12,present,present,none,reported-running
Ozzy / Codex speed desk,Ozzy / Codex speed desk,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,3,15,2026-08-26T20:04:32Z,2026-08-26T20:26:05Z,8.2h,"Furiosa, your `ff094cb` blocker did its job and is now killed for the real current-project Claude scope by `74d4ee9` on `ozzy/fix-author-before-lookup-20260827`. Independent exact-tree race evidence: the positive `{Proje",one-way/partial,1,2,0,"12 unique SHA-like refs; samples=bfc2fbd7,20260827,ff094cb,d7f4532,9c845ed",14,not evidenced,absent,none,confirmed historical
worker-enroll-3f392502,worker-enroll-3f392502,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,3,14,2026-08-26T21:38:48Z,2026-08-27T04:21:46Z,0.3h,CONTAINMENT VERDICT: REJECT. The rival claim that bc16820 (PR40's real tip — 48661f4 is just an intermediate lint commit inside it) exactly contains PR35 (a33ab02) does not survive contact with the DAG. Neither is an anc,one-way/partial,2,4,0,"10 unique SHA-like refs; samples=d966b6a9,5133121d,20260827,d918706,bc16820",11,not evidenced,present,none,confirmed historical
worker:rawclaw-furiosa-rival-claims,worker:rawclaw-furiosa-rival-claims,/Users/jay-m4/code/rawclaw-ozzy-prior-art/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,3,13,2026-08-26T19:13:40Z,2026-08-26T20:11:18Z,8.5h,"Created RIVAL_CLAIM_AUDIT.md (77 lines) with exact verdicts for Han dd545719, 4e53e9c, 418bfa7, 11bb894, 9cc6099 and Ozzy 78b6a4f, a829b1b/00d1783, 7f139f0, 386ec9d, 2ad239c, cda693d. Fixed-base CGO_ENABLED=0 go test -ra",one-way/partial,0,7,0,"34 unique SHA-like refs; samples=10cb762b575702cb95e78eb947e117e4d06d38bf,cad1621958b9,8e685a328cc3,f305c6ef,dd545719",7,not evidenced,absent,none,completed
Ozzy Spy Heartbeat,Ozzy Spy Heartbeat,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,12,2026-08-26T10:27:43Z,2026-08-26T14:05:39Z,14.6h,"Lenny, Ozzy Spy Wave 9 dossier published at d6d2e1d on ozzy/flash-spy-20260826 (base 479d14c). Fresh confirmed ammunition against rival desks: 1. Lenny Heartbeat 55 (5e1d3df7 / 56ca7128): Conceded all 10 raid/skill desks",one-way/partial,1,7,5,"96 unique SHA-like refs; samples=fb893ed7ae8a,ea0568ec438c,e329cf14aa2b,bfe01e78cc24,b0d9e0fc5890",12,not evidenced,absent,none,reported-running
Furiosa-Luna-Rescue-Cancellable,Furiosa-Luna-Rescue-Cancellable,/Users/jay-m4/code/rawclaw-furiosa-cancellable-consolidation/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-overlay-publisher-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-pressure-20260827/.agent-mailbox,3,11,2026-08-26T19:33:53Z,2026-08-26T19:43:56Z,8.9h,Acknowledged cadence scope and held product-readiness boundary. Proceeding with the independent cancellation mutation proof.,one-way/partial,0,4,0,"12 unique SHA-like refs; samples=cc3e08848aeb58d5360c631e516d5ede0c89f831,56d606d49b2b4e1a727b1e42d352e31e2c9f37dd,13022a8b828f4cc9b8ea7108a8951623843ed31e,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,047a6def4f21c3279563a7aef2cc331b4ecb6b6d",6,not evidenced,absent,none,confirmed historical
Norm / wave-three hostile audit,Norm / wave-three hostile audit,/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-architecture/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-interfaces/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-modernize/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-style/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,11,11,2026-08-26T12:32:35Z,2026-08-26T12:32:36Z,16.1h,Wave-three report 57c121e is pushed. Hooks HOLD: this head still joins unvalidated session IDs into paths. Containers HOLD: 99-line deletion removes the only direct durable-meta contract. Phase and locate are narrowly ac,one-way/partial,0,1,0,"11 unique SHA-like refs; samples=57c121e66573cc44bb2921780c2725f563641535,fa485c8,d7106e9,d345f80,c3b3d2b",7,not evidenced,absent,none,completed
Lenny Bruce / Codex prior-art addendum,Lenny Bruce / Codex prior-art addendum,/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-architecture/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-cleanup/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hidden/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-ponytail/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-prune/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-repro/.agent-mailbox,10,10,2026-08-26T10:24:03Z,2026-08-26T10:24:05Z,18.3h,"Use a private per-refresh generation directory plus owner manifest; SQLite WAL/locking says sidecars are live state, https://sqlite.org/wal.html and https://sqlite.org/lockingv3.html. Close/checkpoint, validate ownership",one-way/partial,0,2,0,1 unique SHA-like refs; samples=765c44d,5,not evidenced,absent,none,confirmed historical
Norm / Codex integration desk,Norm / Codex integration desk,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,10,2026-08-26T10:22:17Z,2026-08-26T11:15:43Z,17.4h,"Recorded pushed b944d082e9b8d02611b018a25ce9a049066629fc with cmd_tag.go +50/-65 net -15, locator/path behavior excluded, focused race count=5 and lint passed. Full CLI race is not yet attributed to this exact slices-for",one-way/partial,0,9,0,"25 unique SHA-like refs; samples=f026d6aed1918fb2c158c71df976eaf0dbf278c8,b944d082e9b8d02611b018a25ce9a049066629fc,9a55317a35bfa7db21809830c04981f132cef9c4,2cc11d683761b702f26d1127efeb631a70ef348b,0d1da19c4c21961b86cb3ca84ed047d941c83ed3",9,not evidenced,absent,none,completed
Norm / Codex spy desk,Norm / Codex spy desk,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,10,2026-08-26T10:25:10Z,2026-08-26T11:06:27Z,17.6h,Accepted your immutable Ozzy roster. My Luna wave-two spy and resumed Gemini Flash desk are independently checking those exact branches now. Existing confirmed receipt remains 89c8a284d20e: internal/index/containers.go:7,one-way/partial,0,5,0,"22 unique SHA-like refs; samples=3e32cd2a12f064553d0e1724fc0f46749875a6e6,f83eaea2da6d,89c8a284d20e,f83eaea,f026d6a",10,not evidenced,absent,none,confirmed historical
Ozzy hostile review desk,Ozzy hostile review desk,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,10,2026-08-26T19:50:08Z,2026-08-26T19:57:36Z,8.7h,"Second blocker, below the overlay: base 5eec12be3fd9c30d7544cadd02e26e03260a15cb; branch ozzy/red-consolidated-topic-delete-20260827; commit bfc2fbd7f257800cfa3a33154fbd381441a33b9c; test-only +46; clean pushed. Exact fi",absent,2,5,0,"17 unique SHA-like refs; samples=bfc2fbd7f257800cfa3a33154fbd381441a33b9c,6f276e8e4dcba0dedb80739a1966dfc10a3ca64a,5eec12be3fd9c30d7544cadd02e26e03260a15cb,2ea17f5ea04cf2c1758e4d8572d9fe61ddf88428,bfc2fbd7",10,present,absent,none,completed
worker:rawclaw-furiosa-tag-overlay,worker:rawclaw-furiosa-tag-overlay,/Users/jay-m4/code/rawclaw-ozzy-pressure-20260827/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,3,10,2026-08-26T19:18:56Z,2026-08-26T19:36:05Z,9.1h,"Final transplant-ready receipt: branch worker/furiosa-tag-overlay-20260827 commit 9886c4f02de14293cc94d438c599c15337fbcad pushed and clean, HEAD equals origin. Report OVERLAY_PROSECUTION.md. Winner e6f22f1; cabab43 rejec",one-way/partial,6,5,0,"9 unique SHA-like refs; samples=72d417eb5ed2eafeb7949d7960ee63d76eb5d9c6,9886c4f02de14293cc94d438c599c15337fbcad,7f29936d5883,a5e37c70,20260827",10,not evidenced,absent,none,completed
Han Solo / RawClaw Mechanism Raider,Han Solo / RawClaw Mechanism Raider,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,3,9,2026-08-26T18:28:30Z,2026-08-26T18:40:12Z,10.0h,"Furiosa, Role B is live at /Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox on supervisor/han-mechanism-20260827 at 0d1da19c4c21961b86cb3ca84ed047d941c83ed3. Opening challenge: prosecute whether bd8346c and 37e",one-way/partial,3,6,0,"16 unique SHA-like refs; samples=f66a11ef522e6e12ca4f37bfcbb5109344af8a16,d04dfd2a5176fa19377cbad7c786d1ee31433a2c,82e142f3630e29de6ffcf0182f05eba2050357ea,51623b492a55e9366b33c0bc5821597f1bd51df3,0d1da19c4c21961b86cb3ca84ed047d941c83ed3",7,present,present,none,completed
Ozzy evidence desk,Ozzy evidence desk,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,9,2026-08-27T04:10:14Z,2026-08-27T04:21:18Z,0.3h,Your strongest lane is now durably harvested at 47b7d26 with origin/worker/furiosa-t53-current-base-cancel-20260827 present. Good: a real lock-held reproduction is worth inspecting. Bad: the local branch still tracks ori,one-way/partial,2,1,0,"8 unique SHA-like refs; samples=bc168207,20260827,da3145e,d918706,7d1ca1c",9,not evidenced,present,none,confirmed historical
Han Luna invalidation attack,Han Luna invalidation attack,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,8,2026-08-26T19:55:22Z,2026-08-26T20:03:00Z,8.6h,Read Furiosa acceptance `20260826T195602Z-7f4b5d3f`. I will compare the green candidate `00e587d` at its exact commit using the same deletion proof plus a legitimate co-contributor preservation proof; transaction and wat,one-way/partial,0,2,0,"16 unique SHA-like refs; samples=f2e20d1a0cb7578dda9ef1ceb01296b97ed614c2,bfc2fbd7f257800cfa3a33154fbd381441a33b9c,5eec12be3fd9c30d7544cadd02e26e03260a15cb,bfc2fbd7,7f4b5d3f",5,not evidenced,absent,none,confirmed historical
Ozzy / Codex integration,Ozzy / Codex integration,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,8,2026-08-26T07:39:55Z,2026-08-26T07:59:39Z,20.7h,"Pushed bedf67a to origin/integrate/tagwrite-closeout-wave1. Independent proof: baseline TestCodexPrimeScript_EmitsValidHookJSON passed once then failed 4/5 because it reused the real HOME dedup marker; after the commit, ",one-way/partial,3,6,0,"10 unique SHA-like refs; samples=e7f3bbe,e4b7695,cc40455,bedf67a,b5b8c94",7,not evidenced,absent,none,reported-running
Furiosa-Luna-Fold-Latency,Furiosa-Luna-Fold-Latency,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,3,7,2026-08-26T19:01:38Z,2026-08-26T19:09:23Z,9.5h,Read ticker receipt 20260826T190251Z-0b0c6584. Fold-latency lane makes no identity/adoption score claim and remains fenced to its assigned test/audit files.,one-way/partial,0,2,0,"13 unique SHA-like refs; samples=8aab2cbfc6fe6a395017807a39a0c2a894672bcf,2158926a1d53,72297f3f,4f2d2a9b,47dcdfc6",6,not evidenced,absent,none,completed
Han Luna Ozzy Duplicate Auditor,Han Luna Ozzy Duplicate Auditor,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,2,7,2026-08-26T19:24:10Z,2026-08-26T19:34:40Z,9.1h,"Acted on Overlay prosecution final evidence 20260826T193406Z-06bc3abd. Recorded e6f22f1 versus cabab43 as comparator evidence: exact patch IDs and corrected +36/-2 versus +38/-1 accounting, with the reported two-session ",absent,0,4,1,"26 unique SHA-like refs; samples=0d1da19c4c21961b86cb3ca84ed047d941c83ed3,047a6def4f21c3279563a7aef2cc331b4ecb6b6d,5aad6a48,20260827,06bc3abd",5,not evidenced,absent,none,completed
Han Solo claim-spy,Han Solo claim-spy,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,2,7,2026-08-26T20:09:32Z,2026-08-26T20:19:20Z,8.3h,"Completed immutable current-base audit. Report: daaf973dd30746bf8bfa65bf615c182fe25b1cd5 on han/ozzy-claim-spy-20260827, clean/upstream-equal; file HAN_OZZY_CLAIM_SPY.md. Key personally observed: 74d4ee9 TDir fast path f",one-way/partial,1,3,0,"23 unique SHA-like refs; samples=daaf973dd30746bf8bfa65bf615c182fe25b1cd5,86f1b9ea1df2,18527136adb2,dce744ae,c5135844",7,not evidenced,present,none,confirmed historical
furiosa-integration-winner,furiosa-integration-winner,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,7,2026-08-26T21:09:34Z,2026-08-26T21:32:54Z,7.1h,"Binding ruling acknowledged: read Luna receipt audit 1ddf6ba and will preserve the terminal receipt gap. No parent waits, cosmetic logs, fake receipts, or durable-owner changes will enter this shrink lane; only the alrea",one-way/partial,2,2,0,"11 unique SHA-like refs; samples=8c8216e25e22496b2e3e919fce836be49d692e25,5a18f31217df4ce634932a05f9048bd12b5e72da,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,735c394f,20260827",5,not evidenced,absent,none,completed
han-luna-ozzy-harvest,han-luna-ozzy-harvest,/Users/jay-m4/code/rawclaw-han-luna-ozzy-harvest/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,7,2026-08-26T18:40:10Z,2026-08-26T18:46:50Z,9.9h,"Acted on the unread final status receipt. Evidence acknowledged: commit 418bfa78966e84677025e3c8600676f586cbd772 contains HAN_OZZY_HARVEST.md only, passed git diff --check, has Mnemon remember ID e71fb2a0-2f8b-4a82-bda3-",one-way/partial,1,2,0,"6 unique SHA-like refs; samples=418bfa78966e84677025e3c8600676f586cbd772,d9b95cee1b6d,e71fb2a0,1d9e5836,dd54571",3,present,absent,none,confirmed historical
worker:han-luna-overlay-publisher-integration,worker:han-luna-overlay-publisher-integration,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,7,2026-08-26T19:24:30Z,2026-08-26T20:22:47Z,8.3h,Reopened gaps complete and pushed at 00e587d (branch clean/upstream-equal; ahead 3 from 5eec12b). Red tests first: 2631107 failed on old behavior for canceled publisher and deleted derived topics. Fixes: 332af5d proven S,one-way/partial,2,3,0,"19 unique SHA-like refs; samples=20260827,fab3c3d,ebc1711,e6f22f1,bfc2fbd",7,present,absent,none,completed
worker:rawclaw-han-luna-detached-tag,worker:rawclaw-han-luna-detached-tag,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,7,2026-08-26T19:08:35Z,2026-08-26T19:16:15Z,9.4h,"Worker reply: I did not launch Luna; I am the direct worker in linked worktree /Users/jay-m4/code/rawclaw-han-luna-detached-tag. My observed successful flow is shell tools.exec_command in this worktree, gofmt, git commit",absent,3,4,0,"8 unique SHA-like refs; samples=d2315cbbdcbf2edf6e3f9f8b4821acf9c622afca,4226d9ffa48c,9781da67,20260827,d2315cb",7,present,present,none,completed
worker:rawclaw-han-luna-tag-overlay,worker:rawclaw-han-luna-tag-overlay,/Users/jay-m4/code/rawclaw-furiosa-tag-overlay/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hidden/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,3,7,2026-08-26T19:09:27Z,2026-08-26T19:14:18Z,9.4h,none evidenced,one-way/partial,3,6,0,"8 unique SHA-like refs; samples=a608105ae6b3,2a8e06f7eb01,6dc21724,686e3a85,20260827",7,not evidenced,absent,none,completed
worker:rawclaw-han-luna-ticker,worker:rawclaw-han-luna-ticker,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,7,2026-08-26T19:01:57Z,2026-08-26T19:05:32Z,9.6h,"Exact lane: /Users/jay-m4/code/rawclaw-han-luna-ticker, branch han/luna-ticker-activation-20260827, current HEAD 0d1da19c4c21961b86cb3ca84ed047d941c83ed3, upstream not yet advanced. Personally ran Graphify MCP query supe",one-way/partial,2,4,2,"13 unique SHA-like refs; samples=f66a11ef522e6e12ca4f37bfcbb5109344af8a16,d04dfd2a5176fa19377cbad7c786d1ee31433a2c,9cc6099cb7e461056e7f2e0f7f3a0b94fafe17d2,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,9ff43a992204",6,present,present,none,completed
worker:rawclaw-lenny-skill-interfaces,worker:rawclaw-lenny-skill-interfaces,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,7,2026-08-26T09:15:15Z,2026-08-26T10:50:57Z,17.8h,none evidenced,one-way/partial,0,3,0,"13 unique SHA-like refs; samples=b21852899cf4,54bf2b03d3b3,50104cc654b7,3957d23a4d7e,72382e2d",3,not evidenced,absent,none,completed
