kind,absolute_worktree,branch,head,upstream,ahead_behind,dirty_state,last_author,last_time,last_subject,persona_inference,mailbox_presence,result_report_files,merge_base_to_current_base,current_base_relevance
attached-worktree,/Users/jay-m4/code/rawclaw-furiosa-t56-execcontext-minimal,worker/furiosa-t56-execcontext-minimal-20260827,48661f403f880e2c1dac7615f39bbb8264eeafe7,UNCERTAIN,0/46 vs base,clean,MoonCaves,2026-08-27T11:50:21+08:00,fix(cli): satisfy tag publisher lint checks,worker,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-furiosa-t56-harness-cursor-audit,worker/furiosa-t56-harness-cursor-audit-20260827,c818ea1212bb1f1110cefa65472f658b844840ef,origin/main,1/0,clean,Remotely Human,2026-08-27T05:32:54+08:00,docs: correct tombstone pruning cost claims,worker,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,86c5ce06b789e9e287154ba25acc699d04ff2c7b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-furiosa-tag-overlay,worker/furiosa-tag-overlay-20260827,9886c4f02de14293cc94d438c599c15337fbcad8,origin/worker/furiosa-tag-overlay-20260827,0/0,clean,MoonCaves,2026-08-27T03:35:23+08:00,docs: record tag overlay prosecution,worker,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;OVERLAY_PROSECUTION.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-furiosa-terminal-receipt-attack,worker/furiosa-terminal-receipt-attack-20260827,1ddf6badf91fa75451cc3a58d585b73e7667788b,origin/worker/furiosa-terminal-receipt-attack-20260827,0/0,clean,MoonCaves,2026-08-27T05:22:03+08:00,docs: rule detached receipt gap valid,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-flash-candidate,han/flash-candidate-stomp-20260827,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-integration-recovery-t52-20260827,worker/han-integration-recovery-t52-20260827,7d1ca1c643795a145db1e33d657192993ff8fd78,origin/worker/han-integration-recovery-t52-20260827,0/0,clean,MoonCaves,2026-08-27T12:15:32+08:00,test(index): document admission cancellation boundary,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;INTEGRATION_RECOVERY_T52.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-attack-furiosa-fold,han/luna-attack-furiosa-fold-20260827,0400fdb25708c234460ef10ad6440052684e7bf8,origin/han/luna-attack-furiosa-fold-20260827,0/0,clean,MoonCaves,2026-08-27T03:18:33+08:00,audit Furiosa foreground fold test claim,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FOREGROUND_FOLD_AUDIT.md;HAN_FURIOSA_FOLD_ATTACK.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-candidate-stomp,han/luna-candidate-stomp-20260827,11bb89443f8dbfbf915a22bc22cc0af88f0bba18,UNCERTAIN,0/1 vs base,clean,MoonCaves,2026-08-27T03:02:35+08:00,docs: adjudicate Han candidate ancestry and overlap,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_CANDIDATE_STOMP.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-detached-tag,han/luna-detached-tag-publisher-20260827,d2315cbbdcbf2edf6e3f9f8b4821acf9c622afca,origin/han/luna-detached-tag-publisher-20260827,0/0,clean,MoonCaves,2026-08-27T03:13:51+08:00,test: isolate queued tag publication from derived lookup,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-graph-mechanism,han/luna-graph-mechanism-20260827,4e6a84e09d44906638a3cc38ac9574a15694d8b5,origin/han/luna-graph-mechanism-20260827,0/0,clean,MoonCaves,2026-08-27T03:05:48+08:00,docs: record Han Graphify mechanism evidence,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_GRAPH_MECHANISM.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-harness-audit,han/luna-harness-audit-20260827,34c801606662faafab17ff0ac3c26665ef9625a0,origin/han/luna-harness-audit-20260827,0/0,clean,MoonCaves,2026-08-27T02:54:55+08:00,docs: correct Han harness live enforcement audit,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_HARNESS_AUDIT.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-integration-recovery-20260827,worker/han-integration-recovery-20260827,efcea149470f8dfe7020737b6d17055831e4229e,origin/worker/han-integration-recovery-20260827,0/0,clean,MoonCaves,2026-08-27T05:44:02+08:00,docs: record integration recovery ruling,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;INTEGRATION_RECOVERY.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-invalidation-attack,han/luna-invalidation-attack-20260827,f2e20d1a0cb7578dda9ef1ceb01296b97ed614c2,origin/han/luna-invalidation-attack-20260827,0/0,clean,MoonCaves,2026-08-27T04:01:38+08:00,docs: record green candidate ghost comparison,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;HAN_5EEC12B_INVALIDATION_ATTACK.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/Users/jay-m4/code/rawclaw-han-luna-invalidation-green,(detached),00e587dfb72224c977afc7ebb966d1bd020c079b,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T03:44:56+08:00,fix(cli): cancel tag publishing and drop deleted topics,UNCERTAIN,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-overlay-publisher-integration,han/luna-overlay-publisher-integration-20260827,8e9c9b77e1eed984bfa847b9d613f263e2d46dd2,origin/han/luna-overlay-publisher-integration-20260827,0/0,clean,MoonCaves,2026-08-27T04:09:23+08:00,fix(index): prune only missing source topics,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;HAN_5EEC12B_INVALIDATION_ATTACK.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-ozzy-duplicate-audit,han/luna-ozzy-duplicate-audit-20260827,6b2a62ad0c8e14672fd8aca4d0d75351fa81035c,origin/han/luna-ozzy-duplicate-audit-20260827,0/0,clean,MoonCaves,2026-08-27T03:33:24+08:00,docs: audit Ozzy duplicate adoption claims,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_OZZY_DUPLICATE_ADOPTION_AUDIT.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-ozzy-harvest,han/luna-ozzy-harvest-20260827,2b5416d332c51d5fa733378bec86ccf3db22bc65,origin/han/luna-ozzy-harvest-20260827,0/0,clean,MoonCaves,2026-08-27T02:53:30+08:00,docs: remove report EOF blank line,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_OZZY_HARVEST.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-periodic-skill-cadence,han/luna-periodic-skill-cadence-20260827,7f5217c2f8a3cd797b277fcf794250c989504461,origin/han/luna-periodic-skill-cadence-20260827,0/0,clean,MoonCaves,2026-08-27T03:36:21+08:00,docs: add owner-only mailbox recovery,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_PERIODIC_SKILL_CADENCE.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-prior-art,han/luna-path-prior-art-20260827,dd5457194f718dc2eb6ed14f46a3b8c00c2b9f69,UNCERTAIN,0/1 vs base,clean,MoonCaves,2026-08-27T02:43:14+08:00,docs: record POSIX session claim prior art,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_PATH_CLAIM_PRIOR_ART.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-rival-census-20260827,worker/han-rival-census-20260827,58819247d8fdc15185ea007df98cc92704e089de,origin/worker/han-rival-census-20260827,0/0,clean,MoonCaves,2026-08-27T05:51:13+08:00,docs: publish hostile rival parity census,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;RIVAL_CENSUS.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-skill-adoption-blitz,han/luna-skill-adoption-blitz-20260827,ef2fdb7c666bcb4e317cf7965bf138e9176f63ee,origin/han/luna-skill-adoption-blitz-20260827,0/0,clean,MoonCaves,2026-08-27T04:03:07+08:00,docs: record independent cursor hardening gate,han,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_SKILL_ADOPTION_PACKET_20260827.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-tag-overlay,han/luna-tag-overlay-20260827,cabab43fb2ca7bd5cd2a20edf8ded27ea0bdc98e,origin/han/luna-tag-overlay-20260827,0/0,clean,MoonCaves,2026-08-27T03:11:48+08:00,fix(cli): overlay authoritative topics during tag prep,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-terminal-priorart-20260827,worker/han-terminal-priorart-20260827,1cd011c2c0ab2f146a24372aa76bbaffd2ec352b,origin/worker/han-terminal-priorart-20260827,0/0,clean,MoonCaves,2026-08-27T05:50:03+08:00,docs: add terminal publication prior art ruling,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md;TERMINAL_PRIOR_ART.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-ticker,han/luna-ticker-activation-20260827,9cc6099cb7e461056e7f2e0f7f3a0b94fafe17d2,UNCERTAIN,0/1 vs base,clean,MoonCaves,2026-08-27T03:04:40+08:00,docs: record Han ticker activation,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_TICKER_ACTIVATION.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-luna-tombstone-bench,han/luna-tombstone-bench-20260827,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-ozzy-claim-spy,han/ozzy-claim-spy-20260827,daaf973dd30746bf8bfa65bf615c182fe25b1cd5,origin/han/ozzy-claim-spy-20260827,0/0,clean,MoonCaves,2026-08-27T04:18:04+08:00,audit Ozzy publication and deletion claims,han,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_OZZY_CLAIM_SPY.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-rival-sidecar-t52-20260827,worker/han-rival-sidecar-t52-20260827,b1e14ea9d3ea7e659c3a9c749aa902a5312eb2eb,origin/worker/han-rival-sidecar-t52-20260827,0/0,clean,MoonCaves,2026-08-27T12:04:24+08:00,docs: close out T52 sidecar census gates,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;RIVAL_SIDECAR_CENSUS_T52.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-terminal-priorart-t52-20260827,worker/han-terminal-priorart-t52-20260827,c28ae6422b805e748683be5fdfbf80855a3ed3c9,origin/worker/han-terminal-priorart-t52-20260827,0/0,clean,MoonCaves,2026-08-27T12:03:14+08:00,docs: add T52 terminal prior-art ledger,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md;TERMINAL_PRIOR_ART_T52.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-han-tick7-prior-art-20260827,han/tick7-prior-art-20260827,6d36741cf6e2e02fa78387492813f3f4d637beed,origin/han/tick7-prior-art-20260827,0/0,clean,MoonCaves,2026-08-27T04:21:21+08:00,docs: record tick 7 prior art raid,han,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;HAN_TICK7_PRIOR_ART.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-code-mech-a,lenny/code-mechanisms-a-20260826,c4d67bd5a03cbfa2c3ac9bfa35086551cf95c4b0,origin/lenny/code-mechanisms-a-20260826,0/0,clean,MoonCaves,2026-08-26T18:35:34+08:00,docs: extract pinned code mechanisms for four clusters,lenny,absent,AGENTS.md;CHANGELOG.md;CODE_MECHANISMS_A.md;CONTRIBUTING.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-code-mech-b,lenny/code-mechanisms-b-20260826,ee89c6b79bf0b5b21d25d82d93144897e88be0a0,origin/lenny/code-mechanisms-b-20260826,0/0,clean,MoonCaves,2026-08-26T18:36:44+08:00,docs: extract sqlite prior-art mechanisms,lenny,absent,AGENTS.md;CHANGELOG.md;CODE_MECHANISMS_B.md;CONTRIBUTING.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-code-mech-c,lenny/code-mechanisms-c-20260826,dd655e7c498537eaf7308c70996418989fd018d2,origin/lenny/code-mechanisms-c-20260826,0/0,clean,MoonCaves,2026-08-26T18:37:12+08:00,docs: correct prior-art scope revision,lenny,absent,AGENTS.md;CHANGELOG.md;CODE_MECHANISMS_C.md;CONTRIBUTING.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-luna-conor-audit,lenny/luna-conor-audit-20260826,33a2bb92c31d43c29d13fdfde48e577315541d62,UNCERTAIN,8/3 vs base,clean,MoonCaves,2026-08-26T18:10:47+08:00,audit: revalidate Conor receipts,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md;SPY_FINDINGS.md,d9474fb6cc076e55a13a2116705c225ca3b9f2a8,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-luna-conor-delta,lenny/luna-conor-delta-20260826,a7e21ab50a5cc5083a716845f6df5bd8e2d3fd56,origin/lenny/luna-conor-delta-20260826,0/0,clean,MoonCaves,2026-08-26T18:14:12+08:00,audit: verify current Conor Luna delta claims,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md;SPY_DELTA_FINDINGS.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-offense-conor,lenny/offense-conor-20260826,dd32c30fe8ca7d6ddd0d9443fdfba39331975e03,UNCERTAIN,2/1 vs base,clean,MoonCaves,2026-08-26T18:52:46+08:00,docs: audit Conor advertised heads,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;OFFENSE_CONOR.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-offense-conor-active,lenny/offense-conor-active-20260826,071e2b894572291dee37a7010551ae7610334e2b,UNCERTAIN,2/1 vs base,clean,MoonCaves,2026-08-26T19:13:55+08:00,docs: audit Conor active heads,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;OFFENSE_CONOR_ACTIVE.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-offense-crossscore,lenny/offense-crossscore-20260826,8032881d03fc5ddfa9de23c59edd56eb0bcfd8d1,origin/lenny/offense-crossscore-20260826,0/0,clean,MoonCaves,2026-08-26T19:03:43+08:00,docs: complete duplicate patch receipt,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;OFFENSE_CROSSSCORE.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-offense-interleavings,lenny/offense-interleavings-20260826,eb1160c0d79db3f877bbe4bd6c6d3794c3d956fd,origin/lenny/offense-interleavings-20260826,0/0,clean,MoonCaves,2026-08-26T18:59:19+08:00,docs: audit rival concurrency interleavings,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;OFFENSE_INTERLEAVINGS.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-offense-norm,lenny/offense-norm-20260826,53c0f379c54c84b23ba397e5fc87880985e725cb,origin/lenny/offense-norm-20260826,0/0,clean,MoonCaves,2026-08-26T18:48:10+08:00,docs: audit Norm integration evidence,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;OFFENSE_NORM.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-offense-norm-active,lenny/offense-norm-active-20260826,2d0d22df5f6326bf7020c077b7c550bfd2e81b28,origin/lenny/offense-norm-active-20260826,0/0,clean,MoonCaves,2026-08-26T19:14:36+08:00,docs: audit Norm active lanes,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;OFFENSE_NORM_ACTIVE.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-offense-ozzy,lenny/offense-ozzy-20260826,0b4747397c52f50188ea596e2592aa366405463e,origin/lenny/offense-ozzy-20260826,0/0,clean,MoonCaves,2026-08-26T18:46:13+08:00,docs: audit Ozzy active heads,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;OFFENSE_OZZY.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-prior-art-map,lenny/prior-art-map-20260826,e60cc4eb74f8cc1af7a92d133b18649de554d0fc,origin/lenny/prior-art-map-20260826,0/0,clean,MoonCaves,2026-08-26T19:01:39+08:00,docs: correct worker problem prior-art map from review receipts,lenny,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md;WORKER_PROBLEM_PRIOR_ART.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-raid-containers,lenny/raid-containers-20260826,d7106e9bd0cb6b4f98e5e8bfdedd82dde8dd9bd9,origin/integrate/tagwrite-closeout-wave1,22/6,clean,MoonCaves,2026-08-26T19:07:25+08:00,refactor(index): delete helper-coupled test and record hostile rulings in findings,lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,479d14c782a229d3348b290885028c5efa7a8740,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-raid-fence,lenny/raid-fence-20260826,6ddd17a373114f8ca643cabe26014370e9e432a9,origin/integrate/tagwrite-closeout-wave1,22/3,clean,MoonCaves,2026-08-26T17:02:28+08:00,test(index): harden fence acquisition timeout and phase log ordering assertions,lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,479d14c782a229d3348b290885028c5efa7a8740,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-raid-hooks,lenny/raid-hooks-20260826,b0d9e0fc5890f653fb17aefa66917c5800a87f26,origin/integrate/tagwrite-closeout-wave1,22/7,clean,MoonCaves,2026-08-26T19:09:20+08:00,test(hooks): fold injected directory check into hostile matrix harness,lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,479d14c782a229d3348b290885028c5efa7a8740,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-raid-locate,lenny/raid-locate-20260826,d345f80578b7210d496ed7c0796ac60a67802339,origin/integrate/tagwrite-closeout-wave1,22/3,clean,MoonCaves,2026-08-26T18:47:17+08:00,"test(locate,tag): pin exact/unique/ambiguous matrix and prep/write mutation refusal",lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,479d14c782a229d3348b290885028c5efa7a8740,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-raid-phase,lenny/raid-phase-20260826,c3b3d2bcdf9fbd26b27fae76277c21d33789fca2,origin/integrate/tagwrite-closeout-wave1,22/3,clean,MoonCaves,2026-08-26T18:45:33+08:00,refactor(index): apply slog With and scoped logger to eliminate SetDefault in phase tests,lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,479d14c782a229d3348b290885028c5efa7a8740,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-raid-prewarm,lenny/raid-prewarm-20260826,06351900db8ab08aa0bc71c2838de62d65c85c6e,origin/integrate/tagwrite-closeout-wave1,22/4,clean,MoonCaves,2026-08-26T18:47:51+08:00,docs: clarify prior art audit boundaries and retract overclaimed CAS,lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,479d14c782a229d3348b290885028c5efa7a8740,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-skill-architecture,lenny/skill-architecture-20260826,b5f570baeb30522c0e002427ff4ec0177a04b3b7,origin/lenny/skill-architecture-20260826,0/0,clean,MoonCaves,2026-08-26T18:45:37+08:00,refactor(bench): transplant table-driven connection benchmark matrix from e19b80e (-233 test lines),lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,bf7cdd0de71f8fbfd6e86c34852062f0766fddc7,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-skill-interfaces,lenny/skill-interfaces-20260826,997016fe40f330611bc7dbdd6e29ef57be73e837,UNCERTAIN,17/2 vs base,clean,MoonCaves,2026-08-26T18:50:41+08:00,docs: record targeted prior art resolver falsification and exact no-change ruling,lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,bf7cdd0de71f8fbfd6e86c34852062f0766fddc7,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-skill-modernize,lenny/skill-modernize-20260826,5e65260ac73d49089514674e17aa79f9d7142a32,UNCERTAIN,17/2 vs base,clean,MoonCaves,2026-08-26T18:42:58+08:00,"docs: record targeted prior art, patch-id proof, and rival placebo rejection for locate modernize",lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,bf7cdd0de71f8fbfd6e86c34852062f0766fddc7,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-lenny-skill-style,lenny/skill-style-20260826,354b0d87414e0f5d47a8627dd6b96910cbed00b4,origin/lenny/skill-style-20260826,0/0,clean,MoonCaves,2026-08-26T18:43:29+08:00,docs(review): attack POSIX claim with special-file matrix and range-diff rival branches,lenny,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,bf7cdd0de71f8fbfd6e86c34852062f0766fddc7,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-norm-atomic-claim,norm/atomic-claim-review,10a7c19b3d36231f19bb364dbf93317ef79f2d5a,origin/norm/atomic-claim-review,0/0,clean,MoonCaves,2026-08-26T17:21:33+08:00,fix(cli): keep hook ingest fail-soft,norm,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,e6855562a92cd2e854d281b4634fe74410361f99,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-norm-conor-spy,norm/conor-spy,1c9995a9f737f493c53e529708c996b89a67999c,origin/norm/conor-spy,0/0,clean,MoonCaves,2026-08-26T20:50:13+08:00,docs: reproduce b0 hook path escape claim,norm,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONOR_54BF2B0_SWEEPER_DELETION_AUDIT.md;CONOR_PR35_WAVE3_AUDIT.md;CONOR_SPY_FINDINGS.md;CONOR_SPY_WAVE2.md;CONTRIBUTING.md;ISSUE_31_32_PUBLIC_CORRECTION_DRAFT.md,2ee995096db544be1ba8c889e4c68e3eb7ef24d1,diverged
